model_id,total_frames,num_detections,avg_confidence,avg_time,detection_percentage,detected_classes
bottles-pcttk_1,635,560,0.5149996165684828,0.036857239393686035,88.18897637795276,bottle
detection-er_3,507,450,0.5652540186805838,0.04100072887575369,88.75739644970415,plastic-bottle
fyp-rytyv_1,654,630,0.6014406872907545,0.06753131589145289,96.3302752293578,plastic-bottle
recycle-items-detection_3,398,144,0.18987376898077865,0.04266180081152813,36.18090452261307,recycle-bottle
recycling-objects-4aqr3_3,388,158,0.2204890209682209,0.04863584957990302,40.72164948453608,plastic bottle
rudo_v3_2,391,79,0.10780580787707472,0.042748606258313275,20.20460358056266,"plastic, metal"
trash-recognition-660tk_1,385,60,0.08275709376706705,0.04412988947271743,15.584415584415584,Plastic Bottle
waste-tfpi0_7,692,624,0.6068815433910127,0.07471661638730745,90.17341040462428,"plastic_bottle, non_white_jug, can, milk_jug"
