model_id,total_frames,num_detections,avg_confidence,avg_time,detection_percentage,detected_classes
bottles-pcttk_1,555,344,0.35132292519818553,0.039667633781975235,61.98198198198198,bottle
detection-er_3,494,431,0.5889189220391787,0.042195760143734835,87.24696356275304,"plastic-bottle, glass-bottle"
fyp-rytyv_1,1560,1552,0.6112366949900603,0.06565915090321046,99.48717948717949,plastic-bottle
recycle-items-detection_3,472,387,0.443390156063488,0.04448363515043191,81.99152542372882,"recycle-paper, recycle-bottle"
recycling-objects-4aqr3_3,518,324,0.336314227647763,0.046652927540544516,62.54826254826254,"can, plastic bottle"
rudo_v3_2,562,424,0.4042347075676154,0.040004207434125603,75.44483985765125,"plastic, glass, paper, metal"
trash-recognition-660tk_1,506,273,0.3132134394447794,0.04836833137352117,53.952569169960476,"Plastic Bottle, Rags, Pile of Leaves"
waste-tfpi0_7,484,205,0.27761477915462385,0.07415885563637131,42.35537190082644,"can, plastic_bottle, milk_jug"
