model_id,total_frames,num_detections,avg_confidence,avg_time,detection_percentage,detected_classes
bottles-pcttk_1,340,333,0.7372646012726952,0.02975211850589264,97.94117647058823,bottle
detection-er_3,216,119,0.38167910443411934,0.03611790875466218,55.092592592592595,plastic-bottle
fyp-rytyv_1,208,91,0.27648809695473087,0.05843225142308096,43.75,plastic-bottle
recycle-items-detection_3,201,76,0.20752642314825484,0.038713334189053046,37.81094527363184,"recycle-bottle, recycle-paper"
recycling-objects-4aqr3_3,199,56,0.14659405413584495,0.04844086168844192,28.14070351758794,"plastic bottle, can"
rudo_v3_2,194,125,0.45264308308203194,0.03278190788658026,64.43298969072166,"paper, plastic"
trash-recognition-660tk_1,197,122,0.363016093291607,0.04300119647210381,61.92893401015228,"Plastic Bottle, Cardboard, Plastic Cup"
waste-tfpi0_7,245,178,0.5705448942525047,0.05925443016324473,72.6530612244898,"plastic_bottle, non_white_jug, can, milk_jug"
