model_id,total_frames,num_detections,avg_confidence,avg_time,detection_percentage,detected_classes
bottles-pcttk_1,417,13,0.015991936984965555,0.036255507443649714,3.117505995203837,bottle
detection-er_3,417,417,0.7945304097031518,0.03933563078655858,100.0,plastic-bottle
fyp-rytyv_1,450,323,0.3803260621097353,0.0641235735311296,71.77777777777777,plastic-bottle
recycle-items-detection_3,417,19,0.022006339449390806,0.044041137719434985,4.556354916067146,recycle-bottle
recycling-objects-4aqr3_3,417,417,0.8624014918752712,0.050919529501207476,100.0,can
rudo_v3_2,418,155,0.1953960514524907,0.037109537736827444,37.08133971291866,metal
trash-recognition-660tk_1,417,0,0.0,0.043745824573144895,0.0,
waste-tfpi0_7,417,28,0.03736876612372821,0.07587924213428685,6.71462829736211,"can, plastic_bottle"
